=======================================================
  CSI Amplitude Bridge (occupancy from amplitude std)
  nodes=[1, 5] scale=10.0 window=3.0s
  backend=http://127.0.0.1:8000/sensor-data
=======================================================
[csi-amp] amp_std=3.114 -> presence=25.65 | n1=1.70(rssi-19) n5=3.11(rssi-28)
[csi-amp] amp_std=2.977 -> presence=26.89 | n1=1.68(rssi-19) n5=2.98(rssi-26)
[csi-amp] amp_std=3.196 -> presence=28.41 | n1=1.66(rssi-18) n5=3.20(rssi-28)
[csi-amp] amp_std=2.760 -> presence=28.17 | n1=1.62(rssi-19) n5=2.76(rssi-26)
[csi-amp] amp_std=0.998 -> presence=22.71 | n1=1.00(rssi-19) n5=0.94(rssi-27)
[csi-amp] amp_std=2.509 -> presence=23.42 | n1=1.39(rssi-19) n5=2.51(rssi-28)
[csi-amp] amp_std=2.905 -> presence=25.11 | n1=1.24(rssi-19) n5=2.91(rssi-28)
[csi-amp] amp_std=2.365 -> presence=24.67 | n1=1.20(rssi-20) n5=2.37(rssi-30)
[csi-amp] amp_std=2.504 -> presence=24.78 | n1=1.43(rssi-19) n5=2.50(rssi-27)
[csi-amp] amp_std=2.815 -> presence=25.79 | n1=1.43(rssi-19) n5=2.82(rssi-28)
[csi-amp] amp_std=1.670 -> presence=23.07 | n1=1.41(rssi-18) n5=1.67(rssi-26)
[csi-amp] amp_std=1.011 -> presence=19.18 | n1=0.86(rssi-19) n5=1.01(rssi-28)
[csi-amp] amp_std=0.906 -> presence=16.14 | n1=0.91(rssi-19) n5=0.89(rssi-28)
[csi-amp] amp_std=1.345 -> presence=15.34 | n1=0.93(rssi-19) n5=1.35(rssi-26)
[csi-amp] amp_std=1.081 -> presence=13.98 | n1=0.82(rssi-19) n5=1.08(rssi-27)
[csi-amp] amp_std=0.941 -> presence=12.61 | n1=0.91(rssi-18) n5=0.94(rssi-27)
[csi-amp] amp_std=0.952 -> presence=11.68 | n1=0.95(rssi-19) n5=0.86(rssi-28)
[csi-amp] amp_std=1.057 -> presence=11.35 | n1=1.06(rssi-19) n5=1.00(rssi-27)
[csi-amp] amp_std=1.866 -> presence=13.54 | n1=0.97(rssi-19) n5=1.87(rssi-30)
[csi-amp] amp_std=2.050 -> presence=15.63 | n1=1.22(rssi-19) n5=2.05(rssi-27)
[csi-amp] amp_std=2.950 -> presence=19.79 | n1=1.19(rssi-18) n5=2.95(rssi-28)
[csi-amp] amp_std=2.236 -> presence=20.56 | n1=1.29(rssi-20) n5=2.24(rssi-29)
[csi-amp] amp_std=2.983 -> presence=23.34 | n1=1.58(rssi-19) n5=2.98(rssi-26)
[csi-amp] amp_std=1.705 -> presence=21.45 | n1=1.25(rssi-19) n5=1.71(rssi-28)
[csi-amp] amp_std=0.799 -> presence=17.41 | n1=0.80(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.803 -> presence=14.6 | n1=0.80(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=1.529 -> presence=14.81 | n1=1.13(rssi-18) n5=1.53(rssi-29)
[csi-amp] amp_std=3.578 -> presence=21.1 | n1=2.42(rssi-20) n5=3.58(rssi-26)
[csi-amp] amp_std=3.585 -> presence=25.52 | n1=2.09(rssi-19) n5=3.59(rssi-27)
[csi-amp] amp_std=4.000 -> presence=29.87 | n1=1.56(rssi-17) n5=4.00(rssi-26)
[csi-amp] amp_std=3.886 -> presence=32.56 | n1=2.30(rssi-19) n5=3.89(rssi-29)
[csi-amp] amp_std=2.100 -> presence=29.1 | n1=2.10(rssi-19) n5=1.45(rssi-28)
[csi-amp] amp_std=1.656 -> presence=25.33 | n1=1.66(rssi-19) n5=1.58(rssi-30)
[csi-amp] amp_std=1.300 -> presence=21.63 | n1=0.91(rssi-19) n5=1.30(rssi-31)
[csi-amp] amp_std=1.219 -> presence=18.8 | n1=0.97(rssi-20) n5=1.22(rssi-29)
[csi-amp] amp_std=3.333 -> presence=23.16 | n1=1.86(rssi-20) n5=3.33(rssi-27)
[csi-amp] amp_std=3.915 -> presence=27.95 | n1=1.99(rssi-18) n5=3.91(rssi-26)
[csi-amp] amp_std=2.442 -> presence=26.89 | n1=1.91(rssi-19) n5=2.44(rssi-29)
[csi-amp] amp_std=1.289 -> presence=22.69 | n1=1.29(rssi-19) n5=1.26(rssi-28)
[csi-amp] amp_std=1.384 -> presence=20.04 | n1=1.10(rssi-20) n5=1.38(rssi-28)
[csi-amp] amp_std=0.959 -> presence=16.9 | n1=0.93(rssi-20) n5=0.96(rssi-28)
[csi-amp] amp_std=0.999 -> presence=14.83 | n1=0.80(rssi-20) n5=1.00(rssi-28)
[csi-amp] amp_std=1.422 -> presence=14.65 | n1=1.23(rssi-18) n5=1.42(rssi-27)
[csi-amp] amp_std=2.739 -> presence=18.47 | n1=1.91(rssi-20) n5=2.74(rssi-24)
[csi-amp] amp_std=2.038 -> presence=19.04 | n1=1.86(rssi-19) n5=2.04(rssi-26)
[csi-amp] amp_std=1.430 -> presence=17.62 | n1=1.43(rssi-18) n5=1.15(rssi-26)
[csi-amp] amp_std=2.332 -> presence=19.33 | n1=1.94(rssi-19) n5=2.33(rssi-26)
[csi-amp] amp_std=2.948 -> presence=22.38 | n1=2.06(rssi-20) n5=2.95(rssi-31)
[csi-amp] amp_std=2.266 -> presence=22.46 | n1=1.81(rssi-20) n5=2.27(rssi-30)
[csi-amp] amp_std=1.404 -> presence=19.93 | n1=0.87(rssi-19) n5=1.40(rssi-29)
[csi-amp] amp_std=1.368 -> presence=18.06 | n1=1.01(rssi-19) n5=1.37(rssi-29)
[csi-amp] amp_std=2.081 -> presence=18.88 | n1=2.08(rssi-19) n5=2.02(rssi-30)
[csi-amp] amp_std=1.830 -> presence=18.71 | n1=0.86(rssi-19) n5=1.83(rssi-30)
[csi-amp] amp_std=1.206 -> presence=16.71 | n1=1.09(rssi-17) n5=1.21(rssi-29)
[csi-amp] amp_std=1.037 -> presence=14.81 | n1=1.04(rssi-18) n5=1.04(rssi-30)
[csi-amp] amp_std=1.768 -> presence=15.67 | n1=1.77(rssi-19) n5=1.68(rssi-27)
[csi-amp] amp_std=1.940 -> presence=16.79 | n1=1.94(rssi-19) n5=1.29(rssi-27)
[csi-amp] amp_std=1.855 -> presence=17.32 | n1=1.86(rssi-20) n5=1.18(rssi-28)
